OSEBuildingID,CouncilDistrictCode,Age,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking(%),PropertyGFABuilding(s)(%),LargestPropertyUseTypeGFA,ENERGYSTARScore,EnergyStarNaN,SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SteamUse(%),Electricity(%),NaturalGas(%),TotalGHGEmissions,GHGEmissionsIntensity,PrimaryPropertyType_Distribution Center,PrimaryPropertyType_Hospital,PrimaryPropertyType_Hotel,PrimaryPropertyType_K-12 School,PrimaryPropertyType_Laboratory,PrimaryPropertyType_Large Office,PrimaryPropertyType_Low-Rise Multifamily,PrimaryPropertyType_Medical Office,PrimaryPropertyType_Mixed Use Property,PrimaryPropertyType_Office,PrimaryPropertyType_Other,PrimaryPropertyType_Refrigerated Warehouse,PrimaryPropertyType_Residence Hall,PrimaryPropertyType_Restaurant,PrimaryPropertyType_Retail Store,PrimaryPropertyType_Self-Storage Facility,PrimaryPropertyType_Senior Care Community,PrimaryPropertyType_Small- and Mid-Sized Office,PrimaryPropertyType_Supermarket / Grocery Store,PrimaryPropertyType_University,PrimaryPropertyType_Warehouse,PrimaryPropertyType_Worship Facility
837,6,12,1.0,4,87332,7.3947693857921495,92.60523061420784,87332.0,87.0,0,13.30000019,13.60000038,38.59999847,38.70000076,1165598.875,1185468.125,0.0,1027649.0,137950.0,14.49,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
839,3,13,1.0,6,150545,33.223952970872496,66.77604702912751,100528.0,28.0,0,133.3999939,138.8999939,256.5,262.2000122,13410041.0,13961121.0,0.0,5601497.0,7808543.0,453.76,3.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
841,7,17,1.0,5,141718,0.0,100.0,134197.0,0.0,1,136.3000031,135.8000031,360.7000122,357.0,19085174.0,19009360.0,0.0,14573159.0,4512014.0,341.23,2.41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
843,7,8,1.0,5,111856,19.018201973966526,80.98179802603347,92000.0,8.0,0,98.40000153,98.90000153,208.3000031,210.0,9444484.0,9495641.0,0.0,4825247.0,4619236.0,278.97,2.49,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
845,3,28,1.0,4,132828,0.0,100.0,132828.0,83.0,0,8.199999809,8.199999809,25.60000038,25.60000038,1083729.625,1083729.625,0.0,1083729.0,0.0,7.56,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
847,1,46,1.0,1,70400,0.0,100.0,58047.0,1.0,0,198.3000031,200.6999969,502.7000122,505.1000061,13962749.0,14128860.0,0.0,9916987.0,4045761.0,284.01,4.03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
848,5,21,1.0,1,101830,0.0,100.0,130767.0,60.0,0,81.90000153,87.69999695,180.8999939,187.0,10713006.0,11474490.0,0.0,5935365.0,4777640.0,295.12,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
850,3,28,1.0,3,55353,0.0,100.0,55353.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1433596.0,0.0,9.99,0.18,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
851,3,42,2.0,4,114000,0.0,100.0,114000.0,0.0,1,66.40000153,66.40000153,186.0,186.0,7575080.0,7575080.0,0.0,6341815.0,1233264.0,109.71,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
854,2,14,1.0,3,338063,0.0,100.0,180633.0,0.0,1,61.20000076,61.70000076,176.6000061,176.8000031,20675922.0,20862660.0,0.0,18175883.0,2500035.0,259.49,0.77,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
